revenu_fcfa,credit_fcfa,age,score,default
4745071.229516849,2100179.602118326,60,2,0
3792603.548243223,1656475.5670997975,56,2,0
4971532.807151039,2097838.002425827,44,2,0
6284544.784612038,2434638.4232291104,46,1,0
3648769.937914996,2039088.0562605634,64,5,1
3648794.564576229,2032473.352963106,55,2,0
6368819.223261087,1438406.6497545957,37,4,1
5151152.093729363,1469679.2659592414,44,3,0
3295788.421097572,877915.7825602451,58,3,0
4813840.065378947,3399661.3945495514,37,2,0
3304873.4607813065,1004909.4116869719,61,3,0
3301405.369644615,1445675.8417632743,36,3,0
4362943.407349051,1425274.187544642,37,1,0
1130079.6330133034,2715939.501555553,52,4,1
1412623.2512304508,1764040.2573663779,64,4,1
3156568.706138541,2998193.658138987,19,1,0
2480753.3194983643,1461207.5006049052,47,1,0
4471370.998892911,2223195.3297790415,51,3,0
2637963.8867181838,1331722.3573921942,39,5,1
1881544.447997063,3716119.3022187105,20,3,0
6198473.153382331,1049921.2647763898,23,1,0
3661335.5492701964,2247856.568181622,32,4,1
4101292.3070318857,2507021.504745679,44,3,0
1862877.720679815,2331039.2779611987,27,5,1
3183425.913212226,1851769.8728978334,26,3,0
4166383.8845647993,1896143.440213259,50,2,0
2273509.6338665457,2035049.1775832877,49,3,0
4563547.027518508,1882398.398697209,23,1,0
3099041.9651217926,2771103.2934359275,58,4,1
3562459.375310085,3768418.401273081,53,4,1
3097440.0816559047,1554006.571993733,19,1,0
6778417.276763407,904157.6163367378,46,2,0
3979754.1628930992,1929374.3613189962,21,1,0
2413433.6065661497,4063767.470123455,18,3,0
5233817.368154784,1357060.3456242154,36,1,0
2168734.5250434666,3311293.444355254,43,1,0
4313295.392507133,3342160.6512611527,42,2,0
1060494.8141803364,1557129.4066336043,27,3,0
2007720.9266523542,2455186.46334822,32,5,1
4295291.853803685,3302717.298502831,39,5,1
5107699.869993116,1696697.8072100105,38,4,1
4257052.421784956,1837135.7119181105,39,1,0
3826527.5764176394,1534655.268841085,53,4,1
3548344.456616067,1188194.6154457065,51,2,0
1782217.0144488588,1480577.9639471944,47,5,1
2920233.687407937,1020847.7865901948,42,1,0
3309041.8435603185,2027266.7746073809,62,2,0
5585683.339328374,1384021.4151530867,45,2,0
4515427.434352692,2187028.729432598,18,1,0
1355439.766955899,755283.4830370981,62,2,0
4486125.954092192,2264704.185771566,21,1,0
3422376.579375525,2666823.1692871395,24,1,0
2984616.999541062,405011.4859428357,26,3,0
4917514.433261301,2299245.255878058,53,4,1
5546499.283743926,2982135.1939786337,36,2,0
5396920.178674297,1032287.1850470357,18,2,0
2741173.715166042,3338057.9094701624,27,3,0
3536181.436223178,2335215.2074928363,53,3,0
4496895.1471053455,1435990.515393273,26,3,0
5463317.690683539,1955384.7378738353,62,5,1
3281238.6432320653,2446661.530017378,63,5,1
3721511.5350042745,2060804.3131299291,59,5,1
2340497.5389909577,2431004.7939570956,49,1,0
2205690.0638789935,1263461.125536507,49,2,0
5218788.733591297,2135488.6592288623,23,4,1
6034360.042856234,869028.4024760157,55,1,0
3891984.8176294994,1911019.1509210397,34,2,0
5505299.346838037,1276873.8868281683,27,2,0
4542454.037571452,1411576.0459281867,44,3,0
3032320.3680923134,2988874.5401683496,52,3,0
4542093.408262621,2873048.096475415,38,1,0
6307054.849698953,2487310.496725742,42,3,0
3946260.9413350727,1126149.788261937,45,2,0
6346965.483721009,1746873.2402441585,64,3,0
70382.34386538342,2970478.1599833467,32,5,1
5232853.756562836,2113373.530911924,21,3,0
4130570.6023572567,3855463.631985355,46,2,0
3551488.974301199,2314654.2715154975,26,1,0
4137641.1648032535,2153639.2931920253,44,4,1
1018646.6280986606,1752706.828637999,43,3,0
3670492.1682437323,2106832.723825826,36,2,0
4535668.85726762,1878024.1308955648,45,4,1
6216841.0671122745,2566486.9413508726,34,4,1
3222594.672589529,2765361.853435667,60,5,1
2787259.5956602185,1371208.4315936402,58,4,1
3247364.4346231953,935013.6371537775,59,2,0
5373103.1765531115,531035.7015173628,37,2,0
4493126.664489526,2406393.061530035,62,3,0
3205359.6943494417,1117306.7150609011,57,3,0
4769901.149670035,277687.5256380136,56,3,0
4145616.3240220607,2310862.883624771,40,4,1
5452967.485799334,3994399.6139462325,64,4,1
2946920.359183972,1995143.2707680853,49,5,1
3508506.7801033477,2670792.6195613137,64,3,0
3411837.7703017634,2065463.486838052,50,1,0
1804727.5778018222,1920888.2774470858,63,5,1
4444180.415596864,2735261.1863902146,22,1,0
4391582.908269834,1767780.3646490788,60,4,1
4007670.1849636915,2213913.8512575226,51,5,1
3648119.2999372794,2257358.244956811,57,5,1
1876943.8869243786,1465527.637085561,28,2,0
3369032.0158519614,2793633.879629218,20,4,1
3485928.2252098457,1860032.194643673,50,4,1
2796584.096167572,1395403.8724057241,28,5,1
3758071.4325009864,2429207.874856323,33,4,1
4606076.285221808,1281225.6145671702,35,5,1
6829278.8518157955,2022544.9258953026,47,2,0
4261866.719247758,1992704.8026846373,27,5,1
4386325.586084147,2868716.4526652624,35,4,1
3888331.1263507493,2379758.5863039624,55,4,1
1121843.1770514376,1979978.433003885,36,5,1
3960229.1868261746,2654213.03936023,53,5,1
4090345.3149115397,3112166.0392138506,30,5,1
7694863.168727929,2446248.24508149,63,3,0
3711458.552828316,2008282.0958747044,20,4,1
4452321.0135004185,950531.0141198724,27,4,1
3947932.345442135,1147909.069539702,55,3,0
2246982.943570702,1755820.236516266,18,5,1
5714234.221772531,1512390.2382725736,44,2,0
5127899.549030161,1850422.9576116432,63,5,1
5186547.92056457,2045319.9399176857,25,5,1
2635918.8178078914,2423754.2034853846,63,3,0
6104191.466404149,1943600.977552727,59,4,1
1897223.4058115785,2389201.3150609615,34,5,1
4880285.640700405,2051579.5318480963,26,4,1
7285683.438714968,419626.74691690295,23,1,0
2514195.5123039675,1248531.6849449966,60,4,1
3150553.4055958423,1884729.9554227076,42,2,0
4149477.0476314616,1032244.205727114,56,2,0
3244786.5188257014,2479942.9839969636,45,5,1
1674004.8534008008,3224600.665874958,50,4,1
4102844.462209041,2975009.4813578534,54,5,1
2406544.4294108427,1829245.7032558336,26,3,0
4710388.645952772,3192580.9094799617,35,2,0
2620863.6486492953,2118933.9657616895,38,5,1
6324901.60752631,1730331.2231055684,19,3,0
2825120.061495644,1509277.8691672483,60,5,1
3516907.7256914866,1758024.2508094974,55,4,1
5220275.826054504,1689458.545167017,57,4,1
2153703.525349067,2136332.97790039,53,4,1
4341189.901906194,2128459.1848398917,60,4,1
5960714.131423642,2002436.8161227317,54,1,0
1588775.1481581586,2349550.53579708,32,3,0
4276950.787798456,2952517.019829073,45,3,0
4389824.191372635,2759643.308353059,35,4,1
5172734.3076659655,812081.6252400773,51,1,0
2144573.933682877,-43136.907921563834,39,4,1
2019315.0803735855,2747455.928991419,28,1,0
4782912.348425346,906497.0412676632,30,4,1
4445477.009849779,1820187.6784858531,21,2,0
4375739.275518815,1063909.5791525124,39,2,0
